FID,ID,COMPANY,SAMPLE,TYPE,MESH,DATUM,PROJECTION,EASTING,NORTHING,LONGITUDE,LATITUDE,WGS84,WGS840,REPORTNO,LITHOLOGY,HORIZON,REGOLITH,METHOD,AG_PPB,AS_,AU_PPB,AU1_PPB,AU2_PPB,BI,CO,CU,HG,MO,NI,PB,PT_PPB,SB,SN,TE,U,W,ZN
0,3151495, ,294001, , ,MGA94,MGA56,427164.78,7101894.11,152.271,-26.2006,152.271,-26.2006, , , , , ,0.00005,0.00005,10,0,0,0,47,79,0,7,69,0.00005,0,8,0,0,0,0,46
1,3151496, ,294002, , ,MGA94,MGA56,427213.67,7101895.44,152.271,-26.2006,152.271,-26.2006, , , , , ,0.00005,5,0.00005,0,0,0,61,30,0,0.00005,80,13,0,0.00005,0,0,0,0,78
2,3151497, ,294003, , ,MGA94,MGA56,427262.56,7101896.78,152.272,-26.2006,152.272,-26.2006, , , , , ,0.00005,24,0.00005,0,0,0,68,44,0,8,87,11,0,0.00005,0,0,0,0,54
3,3151498, ,294004, , ,MGA94,MGA56,427311.44,7101898.11,152.272,-26.2006,152.272,-26.2006, , , , , ,0.00005,39,0.00005,0,0,0,47,53,0,6,87,9,0,0.00005,0,0,0,0,30
4,3151499, ,294005, , ,MGA94,MGA56,427360.33,7101899.44,152.273,-26.2006,152.273,-26.2006, , , , , ,0.00005,50,10,0,0,0,22,72,0,8,107,20,0,6,0,0,0,0,56
5,3151500, ,294006, , ,MGA94,MGA56,427409.22,7101900.78,152.273,-26.2006,152.273,-26.2006, , , , , ,0.00005,9,0.00005,0,0,0,73,142,0,10,325,0.00005,0,5,0,0,0,0,49
6,3151501, ,294007, , ,MGA94,MGA56,427458.11,7101902.11,152.274,-26.2006,152.274,-26.2006, , , , , ,0.00005,8,380,180,0,0,107,107,0,8,142,0.00005,0,11,0,0,0,0,39
7,3151502, ,294008, , ,MGA94,MGA56,427507,7101903.44,152.274,-26.2006,152.274,-26.2006, , , , , ,0.00005,8,10,0,0,0,45,42,0,6,84,0.00005,0,0.00005,0,0,0,0,43
8,3151503, ,294009, , ,MGA94,MGA56,427555.89,7101904.78,152.275,-26.2005,152.275,-26.2005, , , , , ,0.00005,20,10,10,0,0,41,45,0,8,83,0.00005,0,7,0,0,0,0,32
9,3151504, ,294010, , ,MGA94,MGA56,427604.78,7101906.11,152.275,-26.2005,152.275,-26.2005, , , , , ,0.00005,21,90,0,0,0,28,625,0,7,236,0.00005,0,16,0,0,0,0,35
10,3151505, ,294011, , ,MGA94,MGA56,427653.67,7101907.44,152.276,-26.2005,152.276,-26.2005, , , , , ,0.00005,19,30,0,0,0,134,139,0,7,1320,0.00005,0,9,0,0,0,0,51
11,3151506, ,294012, , ,MGA94,MGA56,427702.56,7101908.78,152.276,-26.2005,152.276,-26.2005, , , , , ,0.00005,16,30,0,0,0,132,66,0,5,1790,0.00005,0,5,0,0,0,0,51
12,3151507, ,294013, , ,MGA94,MGA56,427751.44,7101910.11,152.277,-26.2005,152.277,-26.2005, , , , , ,0.00005,14,70,0,0,0,118,249,0,6,1630,51,0,6,0,0,0,0,75
13,3151508, ,294014, , ,MGA94,MGA56,427800.33,7101911.44,152.277,-26.2005,152.277,-26.2005, , , , , ,0.00005,24,0.00005,0,0,0,9,28,0,0.00005,49,9,0,0.00005,0,0,0,0,42
14,3151509, ,294015, , ,MGA94,MGA56,427849.22,7101912.78,152.278,-26.2005,152.278,-26.2005, , , , , ,0.00005,24,0.00005,0,0,0,6,22,0,8,41,7,0,0.00005,0,0,0,0,19
15,3151510, ,294016, , ,MGA94,MGA56,427898.11,7101914.11,152.278,-26.2005,152.278,-26.2005, , , , , ,0.00005,49,0.00005,0,0,0,0.00005,20,0,6,21,8,0,0.00005,0,0,0,0,20
16,3151511, ,294017, , ,MGA94,MGA56,427947,7101915.44,152.279,-26.2005,152.279,-26.2005, , , , , ,0.00005,24,0.00005,0,0,0,0.00005,11,0,6,16,10,0,0.00005,0,0,0,0,14
17,3151512, ,294018, , ,MGA94,MGA56,427995.89,7101916.78,152.279,-26.2005,152.279,-26.2005, , , , , ,0.00005,21,0.00005,0,0,0,0.00005,17,0,0.00005,10,10,0,0.00005,0,0,0,0,19
18,3151513, ,294019, , ,MGA94,MGA56,428044.78,7101918.11,152.28,-26.2004,152.28,-26.2004, , , , , ,0.00005,22,10,10,0,0,7,34,0,7,17,13,0,0.00005,0,0,0,0,37
19,3151514, ,294020, , ,MGA94,MGA56,428093.67,7101919.44,152.28,-26.2004,152.28,-26.2004, , , , , ,0.00005,168,20,0,0,0,8,251,0,7,14,29,0,0.00005,0,0,0,0,43
20,3151515, ,294021, , ,MGA94,MGA56,428142.56,7101920.78,152.281,-26.2004,152.281,-26.2004, , , , , ,0.00005,15,10,0,0,0,0.00005,11,0,7,12,16,0,0.00005,0,0,0,0,29
21,3151516, ,294023, , ,MGA94,MGA56,427211,7101993.22,152.271,-26.1997,152.271,-26.1997, , , , , ,0.00005,0.00005,10,0,0,0,177,15,0,0.00005,2040,0.00005,0,0.00005,0,0,0,0,61
22,3151517, ,294024, , ,MGA94,MGA56,427259.89,7101994.56,152.272,-26.1997,152.272,-26.1997, , , , , ,0.00005,8,0.00005,0,0,0,192,27,0,0.00005,2170,0.00005,0,0.00005,0,0,0,0,122
23,3151518, ,294025, , ,MGA94,MGA56,427308.78,7101995.89,152.272,-26.1997,152.272,-26.1997, , , , , ,0.00005,12,10,0,0,0,68,40,0,9,198,8,0,7,0,0,0,0,57
24,3151519, ,294026, , ,MGA94,MGA56,427357.67,7101997.22,152.273,-26.1997,152.273,-26.1997, , , , , ,0.00005,72,20,0,0,0,36,66,0,13,129,43,0,0.00005,0,0,0,0,102
25,3151520, ,294027, , ,MGA94,MGA56,427406.56,7101998.56,152.273,-26.1997,152.273,-26.1997, , , , , ,0.00005,117,10,0,0,0,36,88,0,19,87,28,0,9,0,0,0,0,46
26,3151521, ,294028, , ,MGA94,MGA56,427455.44,7101999.89,152.274,-26.1997,152.274,-26.1997, , , , , ,0.00005,10,30,0,0,0,89,132,0,9,233,0.00005,0,8,0,0,0,0,54
27,3151522, ,294029, , ,MGA94,MGA56,427504.33,7102001.22,152.274,-26.1997,152.274,-26.1997, , , , , ,0.00005,0.00005,20,0,0,0,67,31,0,6,117,0.00005,0,10,0,0,0,0,32
28,3151523, ,294030, , ,MGA94,MGA56,427553.22,7102002.56,152.275,-26.1997,152.275,-26.1997, , , , , ,0.00005,0.00005,10,0,0,0,46,20,0,7,80,0.00005,0,0.00005,0,0,0,0,46
29,3151524, ,294031, , ,MGA94,MGA56,427602.11,7102003.89,152.275,-26.1996,152.275,-26.1996, , , , , ,0.00005,0.00005,20,0,0,0,50,113,0,9,115,0.00005,0,0.00005,0,0,0,0,41
30,3151525, ,294032, , ,MGA94,MGA56,427651,7102005.22,152.276,-26.1996,152.276,-26.1996, , , , , ,0.00005,0.00005,10,0,0,0,50,52,0,8,135,0.00005,0,6,0,0,0,0,38
31,3151526, ,294033, , ,MGA94,MGA56,427699.89,7102006.56,152.276,-26.1996,152.276,-26.1996, , , , , ,0.00005,11,10,0,0,0,237,16,0,0.00005,2910,0.00005,0,7,0,0,0,0,65
32,3151527, ,294034, , ,MGA94,MGA56,427748.78,7102007.89,152.277,-26.1996,152.277,-26.1996, , , , , ,0.00005,11,10,0,0,0,224,11,0,5,2970,0.00005,0,6,0,0,0,0,65
33,3151528, ,294035, , ,MGA94,MGA56,427797.67,7102009.22,152.277,-26.1996,152.277,-26.1996, , , , , ,0.00005,0.00005,10,0,0,0,114,22,0,6,895,0.00005,0,6,0,0,0,0,48
34,3151529, ,294036, , ,MGA94,MGA56,427846.56,7102010.56,152.278,-26.1996,152.278,-26.1996, , , , , ,0.00005,0.00005,10,0,0,0,79,32,0,5,681,0.00005,0,0.00005,0,0,0,0,64
35,3151530, ,294037, , ,MGA94,MGA56,427895.44,7102011.89,152.278,-26.1996,152.278,-26.1996, , , , , ,0.00005,0.00005,10,0,0,0,101,53,0,5,787,0.00005,0,0.00005,0,0,0,0,74
36,3151531, ,294038, , ,MGA94,MGA56,427944.33,7102013.22,152.279,-26.1996,152.279,-26.1996, , , , , ,0.00005,12,10,0,0,0,27,102,0,9,263,0.00005,0,0.00005,0,0,0,0,47
37,3151532, ,294039, , ,MGA94,MGA56,427993.22,7102014.56,152.279,-26.1996,152.279,-26.1996, , , , , ,0.00005,0.00005,0.00005,0,0,0,5,10,0,6,24,5,0,0.00005,0,0,0,0,29
38,3151533, ,294040, , ,MGA94,MGA56,428042.11,7102015.89,152.28,-26.1996,152.28,-26.1996, , , , , ,0.00005,15,0.00005,0.00005,0,0,6,12,0,8,24,8,0,0.00005,0,0,0,0,43
39,3151534, ,294041, , ,MGA94,MGA56,428091,7102017.22,152.28,-26.1996,152.28,-26.1996, , , , , ,0.00005,16,0.00005,0,0,0,0.00005,11,0,6,16,11,0,0.00005,0,0,0,0,31
40,3151535, ,294042, , ,MGA94,MGA56,428139.89,7102018.56,152.281,-26.1995,152.281,-26.1995, , , , , ,0.00005,10,0.00005,0,0,0,9,10,0,9,23,8,0,0.00005,0,0,0,0,34
41,3151536, ,294044, , ,MGA94,MGA56,427208.33,7102091,152.271,-26.1988,152.271,-26.1988, , , , , ,0.00005,0.00005,0.00005,0,0,0,186,11,0,0.00005,1920,0.00005,0,0.00005,0,0,0,0,83
42,3151537, ,294045, , ,MGA94,MGA56,427257.22,7102092.33,152.272,-26.1988,152.272,-26.1988, , , , , ,0.00005,0.00005,0.00005,0,0,0,145,21,0,0.00005,2110,5,0,0.00005,0,0,0,0,81
43,3151538, ,294046, , ,MGA94,MGA56,427306.11,7102093.67,152.272,-26.1988,152.272,-26.1988, , , , , ,0.00005,11,10,0,0,0,165,16,0,5,3050,0.00005,0,0.00005,0,0,0,0,61
44,3151539, ,294047, , ,MGA94,MGA56,427355,7102095,152.273,-26.1988,152.273,-26.1988, , , , , ,0.00005,23,20,0,0,0,44,128,0,6,104,28,0,0.00005,0,0,0,0,47
45,3151540, ,294048, , ,MGA94,MGA56,427403.89,7102096.33,152.273,-26.1988,152.273,-26.1988, , , , , ,0.00005,100,20,0,0,0,22,99,0,10,89,19,0,0.00005,0,0,0,0,44
46,3151541, ,294049, , ,MGA94,MGA56,427452.78,7102097.67,152.274,-26.1988,152.274,-26.1988, , , , , ,0.00005,9,70,0,0,0,58,184,0,10,196,0.00005,0,12,0,0,0,0,42
47,3151542, ,294050, , ,MGA94,MGA56,427501.67,7102099,152.274,-26.1988,152.274,-26.1988, , , , , ,0.00005,0.00005,10,0,0,0,61,24,0,7,186,0.00005,0,6,0,0,0,0,45
48,3151543, ,294051, , ,MGA94,MGA56,427550.56,7102100.33,152.275,-26.1988,152.275,-26.1988, , , , , ,0.00005,0.00005,10,0,0,0,22,23,0,8,51,0.00005,0,0.00005,0,0,0,0,67
49,3151544, ,294052, , ,MGA94,MGA56,427599.44,7102101.67,152.275,-26.1988,152.275,-26.1988, , , , , ,0.00005,5,10,0,0,0,59,299,0,10,185,0.00005,0,14,0,0,0,0,60
50,3151545, ,294053, , ,MGA94,MGA56,427648.33,7102103,152.276,-26.1988,152.276,-26.1988, , , , , ,0.00005,57,60,0,0,0,207,632,0,10,4380,0.00005,0,16,0,0,0,0,284
51,3151546, ,294054, , ,MGA94,MGA56,427697.22,7102104.33,152.276,-26.1987,152.276,-26.1987, , , , , ,0.00005,20,10,0,0,0,116,224,0,8,2090,0.00005,0,10,0,0,0,0,126
52,3151547, ,294055, , ,MGA94,MGA56,427746.11,7102105.67,152.277,-26.1987,152.277,-26.1987, , , , , ,0.00005,8,0.00005,0.00005,0,0,187,19,0,5,2900,0.00005,0,5,0,0,0,0,70
53,3151548, ,294056, , ,MGA94,MGA56,427795,7102107,152.277,-26.1987,152.277,-26.1987, , , , , ,0.00005,17,50,0,0,0,114,29,0,6,1810,0.00005,0,5,0,0,0,0,69
54,3151549, ,294057, , ,MGA94,MGA56,427843.89,7102108.33,152.278,-26.1987,152.278,-26.1987, , , , , ,0.00005,0.00005,0.00005,0,0,0,52,48,0,7,718,0.00005,0,0.00005,0,0,0,0,75
55,3151550, ,294058, , ,MGA94,MGA56,427892.78,7102109.67,152.278,-26.1987,152.278,-26.1987, , , , , ,0.00005,0.00005,10,0,0,0,67,81,0,8,789,0.00005,0,0.00005,0,0,0,0,64
56,3151551, ,294059, , ,MGA94,MGA56,427941.67,7102111,152.279,-26.1987,152.279,-26.1987, , , , , ,0.00005,0.00005,0.00005,0,0,0,20,31,0,9,142,0.00005,0,0.00005,0,0,0,0,37
57,3151552, ,294060, , ,MGA94,MGA56,427990.56,7102112.33,152.279,-26.1987,152.279,-26.1987, , , , , ,0.00005,0.00005,0.00005,0,0,0,71,111,0,9,784,0.00005,0,0.00005,0,0,0,0,82
58,3151553, ,294061, , ,MGA94,MGA56,428039.44,7102113.67,152.28,-26.1987,152.28,-26.1987, , , , , ,0.00005,18,10,0,0,0,28,33,0,8,232,101,0,0.00005,0,0,0,0,106
59,3151554, ,294062, , ,MGA94,MGA56,428088.33,7102115,152.28,-26.1987,152.28,-26.1987, , , , , ,0.00005,11,10,0,0,0,9,23,0,7,34,94,0,0.00005,0,0,0,0,96
60,3151555, ,294063, , ,MGA94,MGA56,428137.22,7102116.33,152.281,-26.1987,152.281,-26.1987, , , , , ,0.00005,13,0.00005,0,0,0,13,36,0,13,30,411,0,0.00005,0,0,0,0,237
61,3151556, ,294065, , ,MGA94,MGA56,427205.67,7102188.78,152.271,-26.198,152.271,-26.198, , , , , ,0.00005,12,0.00005,0,0,0,196,17,0,0.00005,1640,0.00005,0,7,0,0,0,0,83
62,3151557, ,294066, , ,MGA94,MGA56,427254.56,7102190.11,152.272,-26.1979,152.272,-26.1979, , , , , ,0.00005,0.00005,0.00005,0.00005,0,0,185,14,0,0.00005,2340,9,0,5,0,0,0,0,81
63,3151558, ,294067, , ,MGA94,MGA56,427303.44,7102191.44,152.272,-26.1979,152.272,-26.1979, , , , , ,0.00005,0.00005,0.00005,0,0,0,169,14,0,0.00005,2300,7,0,0.00005,0,0,0,0,97
64,3151559, ,294068, , ,MGA94,MGA56,427352.33,7102192.78,152.273,-26.1979,152.273,-26.1979, , , , , ,0.00005,13,0.00005,0,0,0,181,11,0,0.00005,2830,0.00005,0,6,0,0,0,0,80
65,3151560, ,294069, , ,MGA94,MGA56,427401.22,7102194.11,152.273,-26.1979,152.273,-26.1979, , , , , ,0.00005,33,10,0,0,0,192,100,0,8,2090,0.00005,0,0,0,0,0,0,202
66,3151561, ,294070, , ,MGA94,MGA56,427450.11,7102195.44,152.274,-26.1979,152.274,-26.1979, , , , , ,0.00005,15,10,0,0,0,145,103,0,5,1820,0.00005,0,7,0,0,0,0,52
67,3151562, ,294071, , ,MGA94,MGA56,427499,7102196.78,152.274,-26.1979,152.274,-26.1979, , , , , ,0.00005,47,30,0,0,0,184,269,0,6,3370,0.00005,0,10,0,0,0,0,99
68,3151563, ,294072, , ,MGA94,MGA56,427547.89,7102198.11,152.275,-26.1979,152.275,-26.1979, , , , , ,0.00005,66,40,0,0,0,184,82,0,0.00005,4710,0.00005,0,12,0,0,0,0,74
69,3151564, ,294073, , ,MGA94,MGA56,427596.78,7102199.44,152.275,-26.1979,152.275,-26.1979, , , , , ,0.00005,15,20,0,0,0,120,147,0,0.00005,2120,0.00005,0,8,0,0,0,0,84
70,3151565, ,294074, , ,MGA94,MGA56,427645.67,7102200.78,152.276,-26.1979,152.276,-26.1979, , , , , ,0.00005,114,1550,1730,0,0,209,731,0,6,3800,0.00005,0,21,0,0,0,0,131
71,3151566, ,294075, , ,MGA94,MGA56,427694.56,7102202.11,152.276,-26.1979,152.276,-26.1979, , , , , ,0.00005,0.00005,10,0,0,0,173,9,0,0.00005,2850,0.00005,0,0.00005,0,0,0,0,49
72,3151567, ,294076, , ,MGA94,MGA56,427743.44,7102203.44,152.277,-26.1979,152.277,-26.1979, , , , , ,0.00005,0.00005,0.00005,10,0,0,46,47,0,9,494,0.00005,0,0.00005,0,0,0,0,98
73,3151568, ,294077, , ,MGA94,MGA56,427792.33,7102204.78,152.277,-26.1978,152.277,-26.1978, , , , , ,0.00005,5,0.00005,0,0,0,147,68,0,0.00005,2320,0.00005,0,0.00005,0,0,0,0,69
74,3151569, ,294078, , ,MGA94,MGA56,427841.22,7102206.11,152.278,-26.1978,152.278,-26.1978, , , , , ,0.00005,7,60,0,0,0,175,135,0,0.00005,2830,0.00005,0,0.00005,0,0,0,0,77
75,3151570, ,294080, , ,MGA94,MGA56,427939,7102208.78,152.279,-26.1978,152.279,-26.1978, , , , , ,0.00005,0.00005,10,0,0,0,80,71,0,9,1240,0.00005,0,0.00005,0,0,0,0,75
76,3151571, ,294081, , ,MGA94,MGA56,427987.89,7102210.11,152.279,-26.1978,152.279,-26.1978, , , , , ,0.00005,10,20,0,0,0,63,130,0,8,892,0.00005,0,0.00005,0,0,0,0,73
77,3151572, ,294082, , ,MGA94,MGA56,428036.78,7102211.44,152.28,-26.1978,152.28,-26.1978, , , , , ,0.00005,0.00005,10,0,0,0,78,50,0,5,637,0.00005,0,0.00005,0,0,0,0,70
78,3151573, ,294083, , ,MGA94,MGA56,428085.67,7102212.78,152.28,-26.1978,152.28,-26.1978, , , , , ,0.00005,0.00005,10,0,0,0,8,13,0,10,31,29,0,0.00005,0,0,0,0,69
79,3151574, ,294084, , ,MGA94,MGA56,428134.56,7102214.11,152.281,-26.1978,152.281,-26.1978, , , , , ,0.00005,0.00005,10,0,0,0,6,10,0,6,22,23,0,0.00005,0,0,0,0,38
80,3151575, ,294287, , ,MGA94,MGA56,427652.33,7101956.33,152.276,-26.2001,152.276,-26.2001, , , , , ,0.00005,17,120,0,0,0,160,168,0,10,1100,8,0,14,0,0,0,0,72
81,3151576, ,294288, , ,MGA94,MGA56,427649.67,7102054.11,152.276,-26.1992,152.276,-26.1992, , , , , ,0.00005,36,60,0,0,0,154,177,0,6,1500,0.00005,0,17,0,0,0,0,104
82,3151577, ,294289, , ,MGA94,MGA56,427647,7102151.89,152.276,-26.1983,152.276,-26.1983, , , , , ,0.00005,7,30,0,0,0,56,192,0,11,381,6,0,9,0,0,0,0,58
83,3151578, ,294085, , ,MGA94,MGA56,427154.11,7102285.22,152.271,-26.1971,152.271,-26.1971, , , , , ,500,12,10,0,0,0,176,41,0,2.5,1700,2.5,0,7,0,0,0,0,74
84,3151579, ,294086, , ,MGA94,MGA56,427203,7102286.56,152.271,-26.1971,152.271,-26.1971, , , , , ,500,27,30,0,0,0,194,70,0,2.5,1380,2.5,0,8,0,0,0,0,51
85,3151580, ,294087, , ,MGA94,MGA56,427251.89,7102287.89,152.272,-26.1971,152.272,-26.1971, , , , , ,500,37,30,30,0,0,173,160,0,2.5,1790,2.5,0,12,0,0,0,0,62
86,3151581, ,294088, , ,MGA94,MGA56,427300.78,7102289.22,152.272,-26.1971,152.272,-26.1971, , , , , ,500,11,5,0,0,0,155,30,0,2.5,1980,7,0,2.5,0,0,0,0,71
87,3151582, ,294090, , ,MGA94,MGA56,427398.56,7102291.89,152.273,-26.197,152.273,-26.197, , , , , ,500,12,5,0,0,0,213,18,0,2.5,2830,19,0,9,0,0,0,0,93
88,3151583, ,294091, , ,MGA94,MGA56,427447.44,7102293.22,152.274,-26.197,152.274,-26.197, , , , , ,500,11,10,0,0,0,193,10,0,2.5,2200,6,0,2.5,0,0,0,0,61
89,3151584, ,294092, , ,MGA94,MGA56,427496.33,7102294.56,152.274,-26.197,152.274,-26.197, , , , , ,500,36,5,0,0,0,172,10,0,2.5,1790,2.5,0,12,0,0,0,0,48
90,3151585, ,294093, , ,MGA94,MGA56,427545.22,7102295.89,152.275,-26.197,152.275,-26.197, , , , , ,500,30,5,0,0,0,161,16,0,2.5,1980,2.5,0,9,0,0,0,0,46
91,3151586, ,294094, , ,MGA94,MGA56,427594.11,7102297.22,152.275,-26.197,152.275,-26.197, , , , , ,500,14,10,0,0,0,163,21,0,2.5,2430,2.5,0,7,0,0,0,0,75
92,3151587, ,294095, , ,MGA94,MGA56,427643,7102298.56,152.276,-26.197,152.276,-26.197, , , , , ,500,67,10,0,0,0,208,153,0,2.5,3630,2.5,0,13,0,0,0,0,114
93,3151588, ,294097, , ,MGA94,MGA56,427740.78,7102301.22,152.277,-26.197,152.277,-26.197, , , , , ,500,15,10,0,0,0,185,54,0,2.5,1890,2.5,0,7,0,0,0,0,59
94,3151589, ,294100, , ,MGA94,MGA56,427887.44,7102305.22,152.278,-26.1969,152.278,-26.1969, , , , , ,500,2.5,10,0,0,0,65,112,0,7,821,8,0,2.5,0,0,0,0,95
95,3151590, ,294101, , ,MGA94,MGA56,427936.33,7102306.56,152.279,-26.1969,152.279,-26.1969, , , , , ,500,2.5,5,0,0,0,50,34,0,9,188,2.5,0,2.5,0,0,0,0,85
96,3151591, ,294102, , ,MGA94,MGA56,427985.22,7102307.89,152.279,-26.1969,152.279,-26.1969, , , , , ,500,2.5,10,0,0,0,43,68,0,10,290,2.5,0,2.5,0,0,0,0,81
97,3151592, ,294103, , ,MGA94,MGA56,428034.11,7102309.22,152.28,-26.1969,152.28,-26.1969, , , , , ,500,2.5,5,0,0,0,77,33,0,6,846,2.5,0,2.5,0,0,0,0,53
98,3151593, ,294104, , ,MGA94,MGA56,428083,7102310.56,152.28,-26.1969,152.28,-26.1969, , , , , ,500,2.5,5,0,0,0,91,60,0,7,794,2.5,0,2.5,0,0,0,0,83
99,3151594, ,294105, , ,MGA94,MGA56,428131.89,7102311.89,152.281,-26.1969,152.281,-26.1969, , , , , ,500,2.5,5,5,0,0,23,47,0,8,173,7,0,2.5,0,0,0,0,46
100,3151595, ,294106, , ,MGA94,MGA56,427151.44,7102383,152.271,-26.1962,152.271,-26.1962, , , , , ,500,6,5,0,0,0,162,21,0,2.5,1630,2.5,0,5,0,0,0,0,74
101,3151596, ,294107, , ,MGA94,MGA56,427200.33,7102384.33,152.271,-26.1962,152.271,-26.1962, , , , , ,500,2.5,10,0,0,0,157,21,0,2.5,1510,2.5,0,2.5,0,0,0,0,68
102,3151597, ,294108, , ,MGA94,MGA56,427249.22,7102385.67,152.272,-26.1962,152.272,-26.1962, , , , , ,500,9,10,0,0,0,148,55,0,5,1930,2.5,0,6,0,0,0,0,81
103,3151598, ,294109, , ,MGA94,MGA56,427298.11,7102387,152.272,-26.1962,152.272,-26.1962, , , , , ,500,2.5,10,0,0,0,123,40,0,6,1900,5,0,2.5,0,0,0,0,75
104,3151599, ,294110, , ,MGA94,MGA56,427347,7102388.33,152.273,-26.1962,152.273,-26.1962, , , , , ,500,15,10,0,0,0,179,57,0,2.5,2630,6,0,8,0,0,0,0,78
105,3151600, ,294111, , ,MGA94,MGA56,427395.89,7102389.67,152.273,-26.1962,152.273,-26.1962, , , , , ,500,28,10,0,0,0,194,162,0,2.5,2550,14,0,12,0,0,0,0,78
106,3151601, ,294113, , ,MGA94,MGA56,427493.67,7102392.33,152.274,-26.1961,152.274,-26.1961, , , , , ,500,17,5,0,0,0,197,11,0,2.5,2500,12,0,8,0,0,0,0,91
107,3151602, ,294114, , ,MGA94,MGA56,427542.56,7102393.67,152.275,-26.1961,152.275,-26.1961, , , , , ,500,29,10,0,0,0,242,28,0,5,3020,11,0,13,0,0,0,0,104
108,3151603, ,294115, , ,MGA94,MGA56,427591.44,7102395,152.275,-26.1961,152.275,-26.1961, , , , , ,500,66,10,0,0,0,55,91,0,2.5,1180,2.5,0,12,0,0,0,0,61
109,3151604, ,294116, , ,MGA94,MGA56,427640.33,7102396.33,152.276,-26.1961,152.276,-26.1961, , , , , ,500,33,30,20,0,0,262,254,0,6,5340,2.5,0,15,0,0,0,0,95
110,3151605, ,294117, , ,MGA94,MGA56,427689.22,7102397.67,152.276,-26.1961,152.276,-26.1961, , , , , ,500,60,110,0,0,0,1230,337,0,6,5310,2.5,0,14,0,0,0,0,172
111,3151606, ,294118, , ,MGA94,MGA56,427738.11,7102399,152.277,-26.1961,152.277,-26.1961, , , , , ,500,44,40,0,0,0,297,150,0,6,3180,2.5,0,9,0,0,0,0,71
112,3151607, ,294119, , ,MGA94,MGA56,427787,7102400.33,152.277,-26.1961,152.277,-26.1961, , , , , ,500,18,10,0,0,0,168,20,0,2.5,2770,2.5,0,6,0,0,0,0,45
113,3151608, ,294121, , ,MGA94,MGA56,427884.78,7102403,152.278,-26.1961,152.278,-26.1961, , , , , ,500,10,10,0,0,0,172,23,0,2.5,2440,2.5,0,7,0,0,0,0,61
114,3151609, ,294122, , ,MGA94,MGA56,427933.67,7102404.33,152.279,-26.1961,152.279,-26.1961, , , , , ,500,2.5,10,0,0,0,70,85,0,6,901,2.5,0,2.5,0,0,0,0,70
115,3151610, ,294123, , ,MGA94,MGA56,427982.56,7102405.67,152.279,-26.196,152.279,-26.196, , , , , ,500,2.5,10,0,0,0,68,58,0,8,588,2.5,0,2.5,0,0,0,0,88
116,3151611, ,294124, , ,MGA94,MGA56,428031.44,7102407,152.28,-26.196,152.28,-26.196, , , , , ,500,2.5,10,0,0,0,67,67,0,9,665,2.5,0,2.5,0,0,0,0,82
117,3151612, ,294125, , ,MGA94,MGA56,428080.33,7102408.33,152.28,-26.196,152.28,-26.196, , , , , ,500,2.5,5,0,0,0,87,56,0,7,948,2.5,0,2.5,0,0,0,0,84
118,3151613, ,294126, , ,MGA94,MGA56,428129.22,7102409.67,152.281,-26.196,152.281,-26.196, , , , , ,500,9,5,0,0,0,162,67,0,6,1430,10,0,5,0,0,0,0,93
119,3151614, ,294127, , ,MGA94,MGA56,427148.78,7102480.78,152.271,-26.1953,152.271,-26.1953, , , , , ,500,2.5,5,5,0,0,131,171,0,6,2040,2.5,0,2.5,0,0,0,0,68
120,3151615, ,294128, , ,MGA94,MGA56,427197.67,7102482.11,152.271,-26.1953,152.271,-26.1953, , , , , ,500,7,10,0,0,0,147,54,0,2.5,1580,2.5,0,2.5,0,0,0,0,69
121,3151616, ,294129, , ,MGA94,MGA56,427246.56,7102483.44,152.272,-26.1953,152.272,-26.1953, , , , , ,500,7,10,0,0,0,167,124,0,2.5,2220,2.5,0,5,0,0,0,0,74
122,3151617, ,294130, , ,MGA94,MGA56,427295.44,7102484.78,152.272,-26.1953,152.272,-26.1953, , , , , ,500,2.5,5,0,0,0,176,36,0,2.5,1500,2.5,0,2.5,0,0,0,0,79
123,3151618, ,294131, , ,MGA94,MGA56,427344.33,7102486.11,152.273,-26.1953,152.273,-26.1953, , , , , ,500,11,10,0,0,0,210,35,0,2.5,2310,9,0,9,0,0,0,0,87
124,3151619, ,294132, , ,MGA94,MGA56,427393.22,7102487.44,152.273,-26.1953,152.273,-26.1953, , , , , ,500,21,10,0,0,0,171,13,0,2.5,2150,16,0,9,0,0,0,0,83
125,3151620, ,294133, , ,MGA94,MGA56,427442.11,7102488.78,152.274,-26.1953,152.274,-26.1953, , , , , ,500,31,10,0,0,0,177,77,0,5,3320,9,0,11,0,0,0,0,64
126,3151621, ,294134, , ,MGA94,MGA56,427491,7102490.11,152.274,-26.1953,152.274,-26.1953, , , , , ,500,20,5,0,0,0,181,37,0,2.5,1850,2.5,0,6,0,0,0,0,65
127,3151622, ,294135, , ,MGA94,MGA56,427539.89,7102491.44,152.275,-26.1952,152.275,-26.1952, , , , , ,500,45,5,0,0,0,218,48,0,2.5,2820,5,0,14,0,0,0,0,81
128,3151623, ,294136, , ,MGA94,MGA56,427588.78,7102492.78,152.275,-26.1952,152.275,-26.1952, , , , , ,500,10,5,0,0,0,144,22,0,2.5,3170,2.5,0,2.5,0,0,0,0,59
