FID,ID,COMPANY,SAMPLE,TYPE,MESH,DATUM,PROJECTION,EASTING,NORTHING,LONGITUDE,LATITUDE,WGS84,WGS840,REPORTNO,LITHOLOGY,HORIZON,REGOLITH,METHOD,AG_PPB,AS_,AU_PPB,AU1_PPB,AU2_PPB,BI,CO,CU,HG,MO,NI,PB,PT_PPB,SB,SN,TE,U,W,ZN
1606,3155620,JB LC,DS3259, , ,MGA94,MGA56,428900,7101050,152.288,-26.2083,152.288,-26.2083, , , , , ,0,2,0.00005,0,0,0,56,93,0,0,1110,0,0,0,0,0,0,0,0
1607,3155621,JB LC,DS3260, , ,MGA94,MGA56,428875,7101050,152.288,-26.2083,152.288,-26.2083, , , , , ,0,3,0.00005,0,0,0,64,41,0,0,574,0,0,0,0,0,0,0,0
1608,3155622,JB LC,DS3261, , ,MGA94,MGA56,428850,7101050,152.288,-26.2083,152.288,-26.2083, , , , , ,0,6,0.00005,0,0,0,72,114,0,0,1370,0,0,0,0,0,0,0,0
1609,3155623,JB LC,DS3262, , ,MGA94,MGA56,429000,7101150,152.289,-26.2074,152.289,-26.2074, , , , , ,0,9,0.00005,0,0,0,13,39,0,0,43,0,0,0,0,0,0,0,0
1610,3155624,JB LC,DS3263, , ,MGA94,MGA56,428975,7101150,152.289,-26.2074,152.289,-26.2074, , , , , ,0,9,10,0,0,0,21,83,0,0,35,0,0,0,0,0,0,0,0
1611,3155625,JB LC,DS3264, , ,MGA94,MGA56,428950,7101150,152.289,-26.2074,152.289,-26.2074, , , , , ,0,8,0.00005,0,0,0,13,31,0,0,38,0,0,0,0,0,0,0,0
1612,3155626,JB LC,DS3265, , ,MGA94,MGA56,428925,7101149,152.289,-26.2074,152.289,-26.2074, , , , , ,0,7,0.00005,0,0,0,52,46,0,0,440,0,0,0,0,0,0,0,0
1613,3155627,JB LC,DS3266, , ,MGA94,MGA56,428900,7101150,152.288,-26.2074,152.288,-26.2074, , , , , ,0,3,0.00005,0,0,0,60,79,0,0,473,0,0,0,0,0,0,0,0
1614,3155628,JB LC,DS3267, , ,MGA94,MGA56,428875,7101150,152.288,-26.2074,152.288,-26.2074, , , , , ,0,2,0.00005,0,0,0,42,201,0,0,855,0,0,0,0,0,0,0,0
1615,3155629,JB LC,DS3268, , ,MGA94,MGA56,428850,7101150,152.288,-26.2074,152.288,-26.2074, , , , , ,0,7,0.00005,0,0,0,32,78,0,0,208,0,0,0,0,0,0,0,0
1616,3155630,JB AW,DS3269, , ,MGA94,MGA56,429075,7101050,152.29,-26.2083,152.29,-26.2083, , , , , ,0,92,50,0,0,0,27,181,0,0,840,0,0,0,0,0,0,0,0
1617,3155631,JB AW,DS3270, , ,MGA94,MGA56,429100,7101050,152.29,-26.2083,152.29,-26.2083, , , , , ,0,29,20,0,0,0,106,47,0,0,2360,0,0,0,0,0,0,0,0
1618,3155632,JB AW,DS3271, , ,MGA94,MGA56,429125,7101050,152.291,-26.2083,152.291,-26.2083, , , , , ,0,16,10,0,0,0,111,40,0,0,2860,0,0,0,0,0,0,0,0
1619,3155633,JB AW,DS3272, , ,MGA94,MGA56,429150,7101050,152.291,-26.2083,152.291,-26.2083, , , , , ,0,30,10,0,0,0,140,55,0,0,2790,0,0,0,0,0,0,0,0
1620,3155634,JB AW,DS3273, , ,MGA94,MGA56,429175,7101050,152.291,-26.2083,152.291,-26.2083, , , , , ,0,27,30,0,0,0,97,174,0,0,2120,0,0,0,0,0,0,0,0
1621,3155635,JB AW,DS3274, , ,MGA94,MGA56,429200,7101050,152.291,-26.2083,152.291,-26.2083, , , , , ,0,26,10,0,0,0,214,124,0,0,3670,0,0,0,0,0,0,0,0
1622,3155636,JB AW,DS3275, , ,MGA94,MGA56,429250,7101050,152.292,-26.2083,152.292,-26.2083, , , , , ,0,45,10,0,0,0,509,62,0,0,1635,0,0,0,0,0,0,0,0
1623,3155637,JB AW,DS3276, , ,MGA94,MGA56,429278,7101045,152.292,-26.2084,152.292,-26.2084, , , , , ,0,17,0.00005,0,0,0,186,92,0,0,1620,0,0,0,0,0,0,0,0
1624,3155638,JB AW,DS3277, , ,MGA94,MGA56,429300,7101048,152.292,-26.2084,152.292,-26.2084, , , , , ,0,11,0.00005,0,0,0,68,71,0,0,255,0,0,0,0,0,0,0,0
1625,3155639,JB AW,DS3278, , ,MGA94,MGA56,429326,7101048,152.293,-26.2084,152.293,-26.2084, , , , , ,0,14,10,0,0,0,65,83,0,0,402,0,0,0,0,0,0,0,0
1626,3155640,JB  AW,DS3279, , ,MGA94,MGA56,429350,7101048,152.293,-26.2084,152.293,-26.2084, , , , , ,0,11,10,0,0,0,68,92,0,0,351,0,0,0,0,0,0,0,0
1627,3155641,JB AW,DS3280, , ,MGA94,MGA56,429375,7101048,152.293,-26.2084,152.293,-26.2084, , , , , ,0,9,0.00005,0,0,0,74,49,0,0,246,0,0,0,0,0,0,0,0
1628,3155642,JB AW,DS3281, , ,MGA94,MGA56,429408,7101029,152.293,-26.2085,152.293,-26.2085, , , , , ,0,9,0.00005,0,0,0,34,43,0,0,38,0,0,0,0,0,0,0,0
1629,3155643,JB AW,DS3282, , ,MGA94,MGA56,429424,7101050,152.294,-26.2084,152.294,-26.2084, , , , , ,0,7,0.00005,0,0,0,19,26,0,0,19,0,0,0,0,0,0,0,0
1630,3155644,JB AW,DS3283, , ,MGA94,MGA56,429450,7101050,152.294,-26.2084,152.294,-26.2084, , , , , ,0,10,0.00005,0,0,0,37,23,0,0,17,0,0,0,0,0,0,0,0
1631,3155645,JB AW,DS3284, , ,MGA94,MGA56,429475,7101051,152.294,-26.2083,152.294,-26.2083, , , , , ,0,8,0.00005,0,0,0,26,18,0,0,15,0,0,0,0,0,0,0,0
1632,3155646,JB AW,DS3285, , ,MGA94,MGA56,429497,7101050,152.294,-26.2084,152.294,-26.2084, , , , , ,0,5,0.00005,0,0,0,19,14,0,0,14,0,0,0,0,0,0,0,0
1633,3155647,JB AW,DS3286, , ,MGA94,MGA56,429554,7101048,152.295,-26.2084,152.295,-26.2084, , , , , ,0,8,0.00005,0,0,0,3,11,0,0,6,0,0,0,0,0,0,0,0
1634,3155648,JB AW,DS3287, , ,MGA94,MGA56,429576,7101050,152.295,-26.2084,152.295,-26.2084, , , , , ,0,7,0.00005,0,0,0,12,25,0,0,9,0,0,0,0,0,0,0,0
1635,3155649,JB AW,DS3288, , ,MGA94,MGA56,429600,7101051,152.295,-26.2084,152.295,-26.2084, , , , , ,0,5,0.00005,0,0,0,8,15,0,0,8,0,0,0,0,0,0,0,0
1636,3155650,JB AW,DS3289, , ,MGA94,MGA56,429628,7101047,152.296,-26.2084,152.296,-26.2084, , , , , ,0,5,0.00005,0,0,0,6,10,0,0,7,0,0,0,0,0,0,0,0
